FEATURE	GAIN	WEIGHT	COVER	TOTAL_GAIN	TOTAL_COVER
tBAM_Clipping_FET	9.472833173333333	3	40.02032519666667	28.418499519999997	120.06097559
tBAM_Concordance_FET	3.258043272234483	29	60.54800581862069	94.48325489480001	1755.89216874
tBAM_NM_Diff	1.5022517019558823	170	27.26158893652944	255.38278933249998	4634.470119210005
tBAM_Other_Reads	3.7368315369567178	67	69.04819975402984	250.36771297610008	4626.229383519999
tBAM_REF_BQ	0.7792197479420475	127	13.417418503937014	98.96090798864003	1704.012150000001
tBAM_REF_Clipped_Reads	2.1095953507596152	52	33.01695005942308	109.6989582395	1716.88140309
tBAM_REF_Concordant	6.924103339459184	80	43.093966684124986	553.9282671567347	3447.5173347299988
tBAM_REF_Discordant	2.8175902233401664	179	26.380362274413407	504.34864997788975	4722.08484712
tBAM_REF_InDel_2bp	1.3696980608500002	4	56.230418575	5.478792243400001	224.9216743
tBAM_REF_NM	1.3278400265658574	140	16.173986343000006	185.89760371922003	2264.358088020001
tBAM_StrandBias_FET	1.526740562659621	132	18.44419556780303	201.52975427106998	2434.6338149499998
tBAM_p_MannWhitneyU_BQ	1.9509851870588895	117	48.44764293564101	228.26526688589007	5668.374223469998
tBAM_p_MannWhitneyU_EndPos	2.322827345664364	220	30.46525522704548	511.02201604616005	6702.356149950006
tBAM_p_MannWhitneyU_MQ	1.9838051628	5	73.5590843	9.919025814	367.7954215
